user_id,base_files,base_data,work_start,work_end
Soldier01,9,328.7900454010815,9,17
Soldier02,10,259.5304694689628,9,18
Soldier03,5,84.991220536301,9,18
Soldier04,7,260.3902541101231,10,18
Soldier05,8,69.74405265948509,10,19
Soldier06,8,50.27256804435501,10,18
Soldier07,3,156.4847850358382,8,16
Soldier08,14,58.07184876449551,9,17
Soldier09,12,66.33298212476541,10,19
Soldier10,5,183.86169694350696,10,19
Soldier11,11,66.2576444519992,9,17
Soldier12,7,207.67473818934005,8,17
Soldier13,11,387.97121157609575,8,17
Soldier14,11,55.58818827707497,8,17
Soldier15,14,204.05337280886044,9,18
Soldier16,10,62.03598239032644,8,16
Soldier17,6,113.78263072582182,10,19
Soldier18,8,122.77958200386608,10,19
Soldier19,4,321.2964881763901,8,17
Soldier20,6,259.2649925838798,10,18
Soldier21,10,249.6553910418898,10,18
Soldier22,10,345.586847037353,7,16
Soldier23,7,255.36290798234688,7,16
Soldier24,14,239.94362910538698,7,15
Soldier25,3,55.47274235941788,7,16
